 BuR20, TZ:Sharky's Machine, Earl Holliman, \Und, RU:, Tm:Sharky's Machine, D:B.Reynolds, PN:, SU:, prc, CTxx, aw, lc, R(R) 
 GvM14, T:Only One Night, Olof Sandburg, \Und, RU:, T:Only One Night, D:Molander, PN:, SU:, prc, Romt, aw, , W(Gosta Stevens) Lang(\Sw) 
 JuD20, T:La Fete a Henriette, Michel Auclair, \Und, RU:, T:La Fete a Henriette, D:Duvivier, PN:, SU:, bnw," Comd,Romt", , Paris; T(14Jul)," M(Georger Auric) W(Duvivier, Henri Jeanson) Alt(T:Holiday for Henrietta; USA)"
 DAP10, T:The War Room, Bill Clinton, \Und," R:presidential candidate ""Bill Clinton""", T:The War Room, D:Pennebaker, PN:Chris Hegedus, SU:, col, Docu, aw, lc, 
 JDe19, T:Swimming to Cambodia, Spalding Gray, \Voi," R:actor, narrator", T:Swimming to Cambodia, D:J.Demme, P:J.Demme, SU:, col, Docu, RE***," theater, USA", W(Spalding Gray) 
 ALe2, T:The Picture of Dorian Gray, Peter Lawford, \Und, RU:, T:The Picture of Dorian Gray, D:Lewin \, PrF{, SU:, prc, CTxx, ," mansion, England", B(Oscar~Wilde)
 FSc31, T:I.Q., Tim Robbins, \Und," R:mechanic, love", T:I.Q., D:Schepisi, PN:Scott Rudin, SU:, col," Comd,Docu", aw," Princeton, NJ; T(1950)", 
 TRs8, T:The Loneliness of the Long-distance Runner, Julia Foster, \Und, RU:, T:The Loneliness of the Long-distance Runner, D:T.Richardson, P:T.Richardson, St:British Lion, bnw, Dram, H*, lc, 
 SaP30, T:The Osterman Weekend, Meg Foster, \Und, RU:, T:The Osterman Weekend, D:Peckinpah, PN:, SU:, col, Actn, CG**, lc, B(Robert Ludlum) 
 WHu27, T:The Summer House, Claudine Auger, \Und, RU:, T:The Summer House, D:W.Hussein, PN:, SU:, col, Dram, , , CoD(Daphne Phibbs) W(Martin Sherman) 
 LvT20, T:Breaking the Waves, Stellan Skarsgard, \Vic, R:critically ill husband, T:Breaking the Waves, D:vonTrier , PU:, SU:, col," Romt, Porn", aw, Scotland, 
 FT13, T:Les deux anglaises et le continent, Sylvia Marriott, \Und, RU:, T:Les deux anglaises et le continent, D:Truffaut, PN:, St:Carosse, col, Romt, , France, B(HenryPierre Roch\'e) Alt(T:Anne and Muriel; GB) Alt(T:Two English Girls; USA)
 PGr5, T:The Draughtsman's Contract, Dave Hill, \Und, RU:, T:The Draughtsman's Contract, D:Greenaway, PN:David Payne, St:BFi, col, Susp, H**," csd, England", W(Greenway) 
 MN22, T:Regarding Henry, Mikki Allen, \Und, R:daughter, T:Regarding Henry, D:M.Nichols, PN:, St:Paramount, col, Dram, aw, yuppie land, W(Jeffrey~Abrams Nt(worst MN film) 
 GeM5, TZ:The Man from Snowy River, Tom Burlinson, \Und, RU:, Tm:The Man from Snowy River, D:Geo.Miller, PN:Michael Edgley, St:Cambridge, \Ecol, Actn, H," csd, Australia", R(PG) 
 DeM1, T:Marty, Minerva Urecal, \Und," R:nasty ""Mrs.Rosen""",| , T:Marty, D:Del.Mann, P:Hecht, St:U.A., bnw, Dram," AA, AA dir, H****"," Bronx, NYC, NY", B(Paddy Chayefsky; AA) C(Joseph LaShelle; AAN) 
 TeB10, T:Slayground, Phillip Sayer, \Und, RU:, Tm:Slayground, D:Bedford," PN:John Dark, Gower Frost", St:EMI, \Tcol, Actn, H, , R(R) 
 BdP25, T:Raising Cain, s a, \Und," R:mother of abducted son, drowned by Cain ""Karen""", T:Raising Cain, D:B.dePalma, PN:, St:Warners; SD:Universal, col," Dram, Horr", aw," NYC, NY", W(B.dePalma) 
 KMz70, T:Ugetsu Monogatari, Kinuyo Tanaka, \Her, R:potter's wife, T:Ugetsu Monogatari, D:Mizoguchi, PN:, SU:, , Romt, ," town, Japan "
 GdS2, T:Riso Amaro, Vittorio Gassman, \Und, RU:, T:Riso Amaro, D:DeSantis, P:DeLaurentiis, St:Lux, bnw, Dram, H*, ," W(Carlo Lizzani, al.; AAN) Alt(T:Bitter Rice; US)"
 TRs1, T:Look Back in Anger, Goerge Devine, \Und, RU:, T:Look Back in Anger, D:T.Richardson," PN:Saltzman, Gordon L.T. Scott", St:ABP, bnw, Dram, H*, lc, C(Oswald Morris) B(John~Osborne) 
 DEl10, T:Kissing a Fool, Bonnie Hunt, \Und, RU:, T:Kissing a Fool, D:Ellen," P:Tag Mendillo, Andrew Form, Rick Lashbrook", S:Universal, col, Comd, , ," W(James Frey, Doug Ellin)"
 WW67, T:Roman Holiday, Tullio Carminati, \Und, RU:, T:Roman Holiday, D:Wyler, P:Wyler," St:Cinecitta, Paramount", bnw, Romt," AAN, AAN dir, H**"," Rome, Italy"," B(Dalton Trumbo; AA; accepted by Ian McLellan Hunter) W(John Digton; AAN) C(Franz Planer, Henri Alekan; AAN) Seen(9Mar1988) "
 FJS29, T:Sphinx, John Rhys-Davies, \Und, RU:, T:Sphinx, D:Schaffner, PN:Stanley O'Toole," St:Warners, Orion", \Tcol, Susp, H, , R(PG) 
 LMa5, T:A Very Private Affair, Marcello Mastroianni, \Und, RU:, T:A very Private Affair, D:Malle, PU:, SU:, prc, Romt, , lc," W(Malle,)"
 MM20, T:The Keep, Ian McKeller, \Und, RU:, T:The Keep, D:M.Mann," PN:Gene Kirkman, Howard W. Koch~jr.", St:Paramount, \Mcol, Fant, H," castle, Romania; T(1941)", 
 MmL10, T:The Peacemaker, Marcel Iures, \Und, R:Bosnian extremist, T:The Peacemaker, D:M.Leder," PN:Walter Parkes, Branko Lusti", S:Dreamworks, col, Actn, , , W(Michael Schiffer) R(R)
 TBu10, TZ:Attack Force Z, Sam Neill, \Und, RU:, T:Attack Force Z, D:Burstall, PN:, SU:, prc, Ctxx, aw, lc, 
 AES70, T:Diamond Jim, Eric Blore, \Und, RU:, T:Diamond Jim, D:A.E.Sutherland, P:Grainger, St:Universal, bnw, Comd, H*, , W(P.Sturges) 
 LHe4, T:El Dorado, Eve Francis, \Und," R:tragic cabaret dancer ""Sybilla""", T:El Dorado, D:LHerbier, PN:, SL:\Fr, bnw," Dram,Fant", ," cabarert, France", Nt(score lost) 
 MS2, T:Boxcar Bertha, Barry Primus, \Und, RU:, T:Boxcar Bertha, D:Scorsese, PN:Julie Corman, St:AIP, prc, Actn, aw, lc, R(R) Cost(1M) 
 PM10, T:Down and Out in Beverly Hills, Paul Mazursky, \Cam, R:developer, T:Down and Out in Beverly Hills, D:Mazursky, P:Mazursky, St:Touchstone, \Tcol, Romt," F100, H*"," Beverly Hills, CA", C(Donald~McAlpine) 
 Z9550, T:The Basketball Diaries, Mark Wahlberg, \Und, RU:, T:The Basketball Diaries, D:UnYear95, PU:, SU:, col, CTxx, aw, , 
 ACv10, T:Therese, Sylvie Habault, \Und, RU:, T:Therese, D:Cavalier, PN:, St:AFC, col, BioP, aw," Normandy, France; T(1800)"," M(Jacques Offenbach, Faure) "
 KV32, T:The Champ, Jackie Cooper, \Und, R:kid, T:The Champ, D:K.Vidor, PN:, SU:, prc, Ctxx, aw, lc, 
 ChR10, T:Steamboat Bill jnr., Marion Byron, \Und, R:daughter, T:Steamboat Bill jnr., D:Ch.Reisner, P:Keaton, St:U.A., bws, Comd, H*," Mississippi river, South", 
 RaH15, T:Wrestling Ernest Hemingway, Sandra Bullock, \Und, RU:, T:Wrestling Ernest Hemingway, D:Haines, PN:, SU:, prc, Dram, aw, South FL, 
 BsK58, T:Estrallos, Buster Keaton, \Und, RU:, T:Estrallos, D:Keaton, PN:, SU:, bnw, Comd, , Lang(\Sp) 
 ErK10, TZ:The Octagon, Jack Carter, \Und, RU:, Tm:The Octagon, D:Karsen, PN:, SU:, prc, CTxx, aw, lc, R(R) 
 GrC1, T:Frances, Sam Shepard, \Und, RU:, T:Frances, D:Clifford, PN:Jonathan Sanger," St:EMI, Brooksfilm", \Tcol, Dram, H," Hollywood, CA", R(R) 
 GeQ10, T:National Lampoon's Loaded Weapon 1, Tim Curry, \Und, RU:, T:National Lampoon's Loaded Weapon 1, D:Quintano, PN:, St:NewLine, col, Comd, , , Er(19xx) Ser(National Lampoon; 6) 
 WW84, T:How to Steal a Million, Marcel Dalio, \Und, RU:, T:How to Steal a Million, D:Wyler, PN:Fred Kohlmar, St:Fox, prc, Comd, aw, lc, C(Charles Lang) 
 HKo17, T:Luck of the Irish, Phil Brown, \Und, RU:, T:Luck of the Irish, D:Koster, P:Kohlmar, St:Fox, bnw, Homo, H*, lc, 
 MPe10, T:La Ultima Siembra, Alberto Benegas, \Und, RU:, T:La Ultima Siembra, D:Pereira, PN:, St:Yacoraite SL:\Ar, col, Dram, aw," ranch, Argentina", Lang(\Sp) 
 ThB10, T:The Old Curiosity Shop, Mai Deacon, \Inn," R:grandchild ""Nell""", T:The Old Curiosity Shop, D:Bentley, PN:, SU:, bws, Dram, aw, lc, B(Dickens) 
 IF88, T:Drums Along the Mohawk, Ward Bond, \Und, RU:, T:Drums Along the Mohawk, D:J.Ford, PN:Raymond Griffin, St:Fox, \Tcol, West, H**, NY," W(Lamarr Trooti, Sonya Levien) M(Alfred Newman) "
 LMa4, T:Zazie dans le Metro, Phillippe Noiret, \Und," R:uncle, female imporsonator", T:Zazie dans le Metro, D:Malle, PN:, SU:, prc, Comd, aw," Paris,France", 
 PdB10, T:King of Hearts, Alan Bates, \Und, R:soldier, T:King of Hearts, D:DeBroca, PN:, SU:, , Comd, ," village, France; T(1918) "
 JLG52, T:Je Vous Salue Marie, Juliette Binoche, \Und, RU:, T:Je Vous Salue Marie, D:Godard, PN:, St:Gaumont, prc, Comd, aw, Switzerland, Alt(T:Hail Mary; USA)
 ArP1, T:The Left Handed Gun, James Congdon, \Und, RU:, T:The Left Handed Gun, D:A.Penn, PN:, SU:, prc, West, aw, West, B(Gore Vidal) 
 JaH22, T:Captain Nemo and the Underwater City, Allan Cuthbertson, \Und, RU:, T:Captain Nemo and the Underwater City, D:J.Hill," PN:Steven pallos, Bertram Ostrer"," St:MGM, Omnis", \Mcol, Advt, H," submarine, ocean, Atlantic; Atlantis", 
 JR20, T:La Chienne, Jean Gehret, \Und, RU:, T:La Chienne, D:J.Renoir, PN:Braunberger, St:Richebe, bnw, Dram, H*, lc, B(George delaFourchadiere: La Chienne) Lang(\Fr)
 ReN55, T:The Iron Major, Pat OBrien, \Und," R:football coach, war hero ""Pat Cavenaugh"""
 WHl20, T:Another 48 Hrs., s a, \Und," R:murderer ""Iceman""", T:Another 48 Hrs., D:W.Hill, PN:, St:Paramount, \Mlab, Actn, ," SFO, CA", R(R) Inc(80M) 
 SfP6, T:Hotel Deutschland, Zorn, \Und, RU:, T:Hotel Deutschland, D:Stf.Paul, PN:, St:Arsenal, col," Docu,Musc", ," Leipzig, Germany; BNerlin Germany; T(1989)", ," W(Stf.Paul, Walter Grabowski) "
 OP50, T:The Human Factor, Iman, \Und, RU:, T:The Human Factor, D:Preminger, P:Preminger, St:Rank, \Tcol, Susp, H," London, England", W(Stoppard) 
 MiA8, T:Around the World in 80 Days, Ed Murrow, \Und, R:narrator, T:Around the World in 80 Days, D:M.Anderson, PN:Mike Todd, St:U.A., \Tcol, Advt," H***, AA, AAN dir"," balloon, world"," W(James Poe, John Farrow, S.J. Perelman; AA) B(Jules Verne) C(Lionel Linden; AA) M(Victor Young; AA) V(Ken~Adam) "
 RA15, T:Chaplin, Diane Lane, \Und," R:third wife ""Paulette Goddard""", T:Chaplin, D:Attenborough," PN:Attenborough, Mario Kassar", St:Tristar, col, BioP, , , C(Nykvist) M(John Barry) 
 RWa10, T:The Shopworn Angel, Emmett King, \Und, RU:, T:The Shopworn Angel, D:Ri.Wallace, PN:Louis D. Lighton, St:Paramount," bws,bnw", Romt, H*," NYC, NY "
 NT50, T:Mad About Music, William Frawley, \Und, RU:, T:Mad About Music, D:Taurog, PN:Joe Pasternak, St:Universal, bnw, Comd, H*," scool, Switzerland"," C(Joseph Valentine; AAN) M(Frank Skinner, Charles Previn; AAN) B(Marcella Burke, Frank Kohner; AAN) "
 RoP9, T:The Tenant, Shelley Winters, \Und, RU:, T:Le Locataire, D:Polanski, PN:Andrew Braunsberg, St:Paramount, \Ecol, Horr, H, France, R(R) C(Nykvist) Alt(T:The Tenant; USA)
 PeG6, T:Hotel Paradiso, Peggy Mount, \Und, RU:, Tm:Hotel Paradiso, D:Glenville, PN:, SU:, col, Romt, CG*," Paris, France; T(1900)", R(R) 
 JnT10, T:All Night Long, Dennis Quaid, \Und, RU:, T:All Night Long, D:Tramont," PN:Leonard Goldberg, Jerry Weintraub", St:Universal, \Tcol, aw, R(R), lc 
 HK91, T:Love is a many Splendored Thing, Richard Loo, \Und, RU:, T:Love is a many Splendored Thing, D:H.King, PN:Buddy Adler, St:Fox," \DeLuxe,\CS", Romt," AAN, H*", Hong Kong; T(1950)," B(Han Suyin) M(A.Newman, Sammy Fain, Paul Francis Webster; AA) C(Leon Shamroy; AAN) "
 JSb3, T:Puzzle of a Downfall Child, Roy Scheider, \Und, RZ:agent, T:Puzzle of a Downfall Child, D:Schatzberg," PN:John Foreman, Jennings Lang", St:Universal, \Tcol, Dramd, H," Nantucket, MA; NYC, NY", Seen(19Mar1992) 
 RoN5, T:The Man Who Never Was, Josephine Griffin, \Und, RU:, T:The Man Who Never Was, D:Neame, PN:Andr\'e Hakim, St:Fox, \DeLuxe, BioP, H**," London, England; Gibraltar", Seen(17Feb1989) VT() 
 JTg4, T:Charlie Chan in Shanghai, Warner Oland, \Agn, R:detective, T:Charlie Chan in Shanghai, D:Tinling, PN:, St:Fox, bnw," Myst,Comd", ," Shanghai, China", Ser(Charlie Chan; 12) 
 RTh3, T:Tarzan Escapes, E.E. Clive, \Und, RU:, T:Tarzan Escapes, D:R.Thorpe, P:Zimbalist, St:MGM, bnw, Advt, H**, Africa," Ser(Tarzan, 51) CoD(Farrow, "
 JHp10, T:Benefit of the Doubt, Theodore Bikel, \Und, RU:, T:Benefit of the Doubt, D:Heap, PN:, SU:, col, Susp, aw, AZ, R(R) 
 RHn10, T:The Vampire of Dusseldorf, Robert Hossein, \Vil," R:psychopathic child murderer ""Peter Kurten""", T:The Vampire of Dusseldorf, D:Hossein, PN:, SU:, prc, Ctxx, aw," Dusseldorf, Germany; T(1929)", 
 DRi14, T:March or Die, Marcel Bozzuffi, \Und, RU:, Tm:March or Die, D:Richards," PN:Dick Richards, Jerry~Bruckheimer", St:ITC, \Tcol, Dram, H, Tunesia, R(PG) 
 JCa7, T:My Geisha, s a, \Und, R:Japanese producer, T:My Geisha, D:Cardiff, PN:Steve Parker, St:Paramount, \TR, Comd, H, Japan, C(Shunichuro Nakao) 
 \Ani, animal
 AM23, T:Adventures of Marco Polo, George Barbier, \Und, RU:, T:Adventures of Marco Polo, D:Mayo, P:S.Goldwyn, St:Goldwyn," bnw, sepiatone", Advt, H*," Kublai Khan, China", M(Alfred Newman) 
 EDm55, T:Alvarez Kelly, Janice Rule, \Und, RU:, T:Alvarez Kelly, D:Dmytryk, PN:, SU:, prc, Ctxx, aw, lc, W(Franklin Coen) 
 RKa10, T:Carny, Elisha Cook~jr, \Und, RU:, Tm:Carny, D:Kaylor, PN:Robbie Robertson, St:Lorimar, \Tcol, Comd, aw, lc, R(R) 
 MPl10, T:Going All The Way, Ben Affleck, \Und," R:stud, mentor"
 JLo4, T:M, Walter Burke, \Und, RU:, T:M, D:Losey, PN:Seymour Nebenzal, St:Columbia, bnw," Dram,Susp", H*," LA, CA"," M(Grieg ""Peer Gynt) "
 OP10, T:A Royal Scandal, Mischa Auer, \Und, RU:, T:A Royal Scandal, D:Preminger, P:Lubitsch, St:Fox, prc," Hist,Romt", ," court, Russia"," M(A.Newman) W(Edwin Justus Meyer) B(Lajos Biro, Melchior Lengyel) "
 RLi20, T:All I want for Christmas, Leslie Nielsen, \Und, RU:, T:All I want for Christmas, D:Lieberman, PN:, SU:, col, Romt, ," NYC, NY", 
 SK6, T:Judgement at Nuremberg, Howard Caine, \Und, R:German, T:Judgement at Nuremberg, D:St.Kramer, P:St.Kramer," St:Roxlom, U.A.", bnw, Dram, Z*," Nurnberg, Germany", B(Abby Mann) Seen(26Jan1991) 
 TGA8, T:Memories of Underdevelopment, Sergo Corrieri, \Und, R:would-be writer,"|
student", T:Memories of Underdevelopment, D:Alea, PU:, SU:, col, Dram, aw, Cuba, B(Edmundo Desnoes) Lang(/Sp)
 SK3, T:The Defiant Ones, Cara Williams, \Und, RU:, AAN, T:The Defiant Ones, D:St.Kramer, P:St.Kramer, St:U.A., bnw, Dram," AAN, AAN dir, H**", ," W(Nathan E. Douglas, Harold Jacob Smith; AA) C(Sam Leavitt; AA) R(NR) "
 RDW10, T:Love Me Tender, Bruce Bennett, \Und, RU:, T:Love Me Tender, D:R.D.Webb, PN:David Weisbart, St:Foc, bnw, Musc, aw, South; T(1850), 
 REn55, T:The Iron Major, Frank Shannon, \Und, RU:, T:The Iron Major, D:Enright, PN:, St:RKO, bnw, BioP, H, lc, 
 HCP1, T:Beloved Enemy, Donald Crisp, \Und, RU:, T:Beloved Enemy, D:Porter, PN:George Haight, St:Goldwyn, bnw, Romt, H*, Ireland; T(1921) 
 DMc1, T:Cousin Bette, Elizabeth Shue, \Und, R:fancy mistress, T:Cousin Bette, D:McAnuff, PU:, SU:, prc, Dram, , T(1840), B(Balzac)
 ATe3, T:Barocco, Gerard Depardieu, \Und, RU:, T:Barocco, D:Techine, PN:, SU:, prc, Ctxx, aw, lc, C(Nuytten) Lang(\fr) 
 FC38, T:A Hole in the Head, Joi Lansing, \Und, RU:, T:A Hole in the Head, D:Capra, PN:Frank Sinatra, St:Ua.A., \DELuxe," Comd,Musc", H*," hotel, Miami, FL"," M(Jimmy vanHeusen, Smmy Cahn; AA) "
 GDo39, T:The McConnell Story, Robert Ellis, \Und, RU:, T:The McConnell Story, D:G.Douglas, P:Henry Blanke, S:Warners," \Wcol, \CS", BioP, H," airfield, MA; Korea", C(Steiner)
 H12, T:The Ring, Tom Helmore, \Und, RU:, T:The Ring, D:Hitchcock, P:J.Maxwell," St:BIP Elstree, SD:Wardour", sbw, Susp, ," theater, England"," W(Hitchcock, Alma Reveille) C(Claude McDonnell) "
 XWZ15, T:The Emperor's Shadow, Ge You, \Und," R:scruffy, independent musician, composer", T:The Emperor's Shadow, D:Zhou, PU:, SU:, prc," Hist, Epic", , China (100BC), Lang(Mandarin)
 HKl30, T:Tammy tell me True, Edgar Buchanan, \Und, RU:, T:Tammy tell me True, D:Keller, PN:Ross Hunter, S:U-I, \Ecol, Romt,H, lc," W(Oscar Brodney) M(Percy faith)Ser(Tammy,2)"
 CBt15, T:Nightjohn, Bill Cobbs, \Und, RU:, T:Nightjohn, D:Burnett, PU:, SU:, col, CTxx, aw," plantation, South", B(Gary Paulsen} W(Bill Cain)
 EvS7, T:The Wedding March, George Fawcett, \Und, RU:, T:The Wedding March, D:vonStroheim, P:, St:Paramount, bws, Dram, H**, Austria; T(1800), Le(196m) 
 PBo6, T:Paper Moon, Randy Quaid, \Und, R::Leroy, T:Paper Moon, D:Bogdanovich, P:Bogdanovich, St:Paramount, bnw, Comd, H**, Midwest, W(Alvin Sergeant; AAN) B(Joe David Brown: ``Addie Pray'') 
 ADx39, T:Babel Opera, Denise Debbaut, \Und, RU:, T:Babel Opera, D:Delvaux, PN:, SU:, col, Musc, aw, Belgium)," M(Mozart ""Don Giovanni) Lang(\Du, Flemish) "
 LiW20, T:Summer Night, Michele Placich, \Und, RU:, T:Summer Night, D:Wertmuller, PN:, SU:, prc, Ctxx, aw, lc, 
 LlB62, T:The Oklahoma Kid, , \Und, RU:, T:The Oklahoma Kid, D:Bacon, PN:, St:Warners, prc, West, aw, OK, M(Steiner) 
 GaW10, TZ:Wholly Moses, Jack Gilford, \Und, RU:, Tm:Wholly Moses, D:Weis, PN:, SU:, prc, CTxx, aw, lc, R(PG) W(Guy Thomas) 
 JLM13, T:The Barefoot Contessa, Tonio Selwart, \Und, RU:, T:The Barefoot Contessa, D:J.L.Mankiewicz, PN:, SU:, prc, Romt, aw," Madrid, Spain; Hollywood, CA", W(J.LMankiewicz) 
 GeM15, T:Mad Max: Beyond Thunderdome, Tina Turner, \Und, RU:, T:Mad Max: Beyond Thunderdome, D:Geo.Miller, PN:, SU:, prc, Ctxx, aw, lc, Ser(Mad Max: 3) 
 HLF10, T:Chained for Life, Daisy Hilton, \Und," R:Siamese Twin ""Daisy Hilton""", T:Chained for Life, D:Fraser, PN:George Moscov, St:Classic, bnw," Horr, BioP", H, lc, 
 MaN30, T:Rebecca of Sunnybrook Farm, Dixie Dunbar, \Und, RU:, T:Rebecca of Sunnybrook Farm, D:Neilan, PN:, St:First National, bws, Dram, aw, lc, 
 JLG63, T:For Ever Mozart, s a, \Und, R:frustrated filmmaker, T:For Ever Mozart, D:Godard , PU:, SU:,, PU:, SU:, col, Dram, aw," Sarajevo, Bosnia", 
 RLi6, T:Just Before Dawn, Deborah Benson, \Und, RU:, T:Just Before Dawn, D:Lieberman, PN:, St:Oakland, \Mlab, Horr, H, csd, 
 MAp50, T:Extreme Measures, Marylin Stonehouse, \Und," RZ:neurologist's wife ""Ruth Myrek""", T:Extreme Measures, D:Apted, PN:Elizabeth Hurley, SU:, col," Dram, CnR", ," hospital, NYC, NY", Seen(13Jun1999)
 KuA10, T:Bounty Hunter, Whip Hutley, \Und," RN:""Baesler""", T:Bounty Hunter, D:K.Anderson, PN:Pierre David, SU:, col, Actn, aw," L.A., CA"," Seen(14May1993), partial Ey(y) "
 JNs102, T:The Legacy, Jaques Bergerac, \Und," R:prince, seems to have killed himself", T:The Legacy, D:Neilson, P:Hitchcock," St:Shamley, CBS"," bnw, TV", Susp, , , TV(13May1956) Le(30m) 
 WLa38, T:On The Riviera, Jean Murat, \Und, RU:, T:On The Riviera, D:W.Lang, P:S.C.Siegel, St:Fox, \Tcol, Comd, H**," nightclub, Riviera, France", M(A.Newman; AAN) 
 Z5615, T:Mademoiselle Striptease, Brigitte Bardot, \Und, RU:, T:Mademoiselle Striptease, D:Unknown56, PU:, SU:, prc," Romt, Porn", ," Paris, France", Lang(\Fr) Alt(T:Please Mr. Balzac)
 DHx10, TZ:Naked Massacre, Carol Laure, \Und, RU:, Tm:Naked Massacre, D:Heroux, PN:, SU:, prc, CTxx, aw, lc, Er(19xx?) 
 JLM8, T:House of Strangers, Mushy Callahan, \Und, R:referee, T:House of Strangers, D:J.L.Mankiewicz, P:S.C.Siegel, St:Fox, bnw, Dram, H**, , VT() Seen(3Mar1989) 
 FLl80, T:Wells Fargo, Frank McGlynn, \Und," R:president ""Lincoln""", T:Wells Fargo, D:F.Lloyd, P:F.Llloyd, St:Paramount, bnw, West, H*, West, 
 T:La Marie du Port, Carette, \Und, RU:
 JoP41, T:A Nice Touch, Harry Townes, \Und, R:drunk husband, T:A Nice Touch, D:Pevney, P:Hitchcock," St:Shamley,NBC"," bnw,TV", Susp, ," hollywood, CA", TV(4Oct1963) Le(30m) W(B(Mann Rubin)) 
 HBl10, T:Stronger than Death, Charles Bryant, \Und, RU:, T:Stronger than Death, D:Blanche, PN:, SU:, bws, Dram, aw, lc, 
 MaT25, T:The Pride of the Clan, Mary Pickford, \Und, RU:, T:The Pride of the Clan, D:M.Tourneur, PN:, SU:, bws, Dram, aw, lc, 
 H79, T:The Birds, Alfred Hitchcock, \Cam, R:shopper walking dogs, T:The Birds, D:Hitchcock, P:Hitchcock, St:Universal, \Tcol, Susp, H***," bird shop, S.F., CA; Bodega Bay, CA", W(Evan Hunter) B(Daphne duMaurier) C(Burks) M(Herrmann; sounds only) VT(N:HT5) 
 JCw44, T:Our Modern Maidens, Anita Page, \Und, R:husband's girlfriend, T:Our Modern Maidens, D:Conway, PN:, SU:, bws, Romt, aw," parties, USA", 
 JIv36, T:Mr.~and Mrs.~Bridge, s a, \Und, R:maid
 HeD114, T:The Last Dark Step, Joyce Meadows, \Und," R:desired, killed", T:The Last Dark Step, D:Daugherty," P:Hitchcock, J.Harrison"," St:Shamley,CBS"," bnw,TV", Susp, , , TV(8Feb1959) Le(30m) B(Margaret Manners) 
 CEa15, T:Rookie, Tony Plana, \Und, R:crook, T:Rookie, D:Eastwood, PN:David Valdes, St:Warners, \Tcol, Actn, ," L.A., CA", 
 JLB7, T:Broadcast News, Albert Brooks, \Und," R:news reporter, unglamorous suitor", T:Broadcast News, D:J.L.Brooks, PN:, SU:, col, Comd, , , 
 NMv1, T:Dark Eyes, Vsevolod Larionov, \Und, R:love's husband, T:Dark Eyes, D:Mikhalkov," PN:Silvia d'Amico Bendico, CarloCucchi", SU:, , Romt, ," spa, Italy?", W(Anton Chekhov) 
 SL37, T:Death Trap, Henry Jones, \Und, R:attorney, T:Death Trap, D:Lumet, PN:Burt Harris, St:Warners, \Tcol, , H*," mansion, East Hampton, LI, NY", Seen(19Jun1989) R(PG) W(Jay Presson Allen) B(Ira Levin) Alt(T:Deathtrap; USA)
 KRu23, T:Salome's Last Dance, Glenda Jackson, \Und, RU:, T:Salome's Last Dance, D:K.Russell, PN:, SU:, prc, CTxx, aw, lc, Ser(Gothic; 3) 
 TYg17, T:Dr.~No, Reginald Carter, \Und," RN:""Jones""", T:Dr.~No, D:T.Young," P:Saltzman, Cubby", St:U.A., \Tcol, Advt, , Jamaica; China, B(I.Fleming) Ser(Bond; 1) VT(N:HP9) C(Ted Moore) V(Ken Adam) E(Peter Hunt) 
 JHr20, T:That's Dancin', Ray Bolger, \Und, R:narrator, T:That's Dancin', D:Haley," PN:Haley, David Niven~jr.", S:MGM-UA, \Mcol, Musc, H, , Note(compilation),"|
", JHr30, T:That's Entertainment III, 1994, D:Haley," PN:Haley, Daniel Melnick:", St:MGM," col,bnw", Musc, , , Nt(compilation of clips)
 LRF15, T:Hong Kong, Lowell Gilmore, \Und," R:nice old man, murdered", T:Hong Kong, D:L.R.Foster, PN:, St:Paramount, \Tcol, Advt, H, Hong kong, 
 RtB16, T:Un Condamn\'e \`a Mort s'est Echapp\'e, Francois Leterier, \Und," R:Nazi prisoner, escapes ""Andre Devigny""", Nt(=Ltnt Fontaine)," T:Au Hazard, Balthazar", D:Bresson, P:, SU:, bnw," BioP,Dram", ," C(Leonce-Henry Burel) M(Mozart ""Mass in Dminor) Er(C,M) Lang(\Fr) "
 MtR10, T:The King and I, Martin Vignover, \Voi, RS:king, T:The King and I, D:M.Rich," PN:James G. Robinson, Arthur Rankin, , Peter Bakalian", S:Warners, col, Cart, , lc," M(Rodgers, Hammerstein)"
 ClS45, T:Nelly and Monsieur Arnaud, s a, \Und," R:boring, lazy husband", T:Nelly and Monsieur Arnaud, D:Sautet, PU:, SU:, prc, Romt, , lc, Lang(\Fr)
 BiA10, T:Les Miserables, Claire Danes, \Und," R:daughter ""Cosette""", T:Les Miserables, D:August , PU:, SU:, col, Dram, aw," Vigau, village, France; T(1812)", R(PG13)
 RRw37, T:These Wilder Years, Edward Andrews, \Und, RU:, T:These Wilder Years, D:Rowland, PN:Jules Schermer, St:MGM, bnw, Dram, H, , 
 RWB67, T:Dr.~Jekyll and Sister Hyde, Martine Beswick, \Und, R:doctor transformed, T:Dr.~Jekyll and Sister Hyde, D:R.W.Baker," PN:Albert Fennell, Brin Clemens"," St:Hammer, AIP British", prc, Horr, aw, lc, R(PG) W(Brian Clemens) 
 DL15, T:Ryan's Daughter, Barry Foster, \Und, RU:, T:Ryan's Daughter, D:Lean, PN:Anthony Havelock, St:MGM, , Dram, prc," village, Ireland; T(1916)", C(Freddie Young; AA) 
 ALv10, T:Vice Squad, Lee VanCleef, \Und, RU:, Tm:Vice Squad, D:Laven," PN:Jules Levy, Arthur Gardner", St:U.A., bnw, Dram, H, police ward, 
